person_id,video_id,segment_type,end_frame_id,end_timestamp_sec,label
6,face6,safe,1268,42.607526881720425,0
5,face5,drowsy,2039,68.51478494623656,1
13,face13,drowsy,2009,67.50672043010752,1
6,face6,safe,1353,45.46370967741935,0
2,face2,drowsy,1869,62.802419354838705,1
9,face9,drowsy,2764,92.8763440860215,1
4,face4,drowsy,1219,40.961021505376344,1
2,face2,drowsy,3214,107.99731182795698,1
4,face4,drowsy,1379,46.33736559139785,1
2,face2,safe,594,19.959677419354836,0
7,face7,drowsy,3554,119.42204301075267,1
13,face13,drowsy,2139,71.875,1
5,face5,drowsy,1234,41.46505376344086,1
13,face13,safe,1169,39.280913978494624,0
15,face15,safe,399,13.407258064516128,0
2,face2,safe,134,4.50268817204301,0
4,face4,drowsy,4059,136.39112903225805,1
5,face5,drowsy,2249,75.57123655913978,1
13,face13,safe,229,7.694892473118279,0
9,face9,safe,634,21.303763440860212,0
13,face13,drowsy,1004,33.736559139784944,1
13,face13,drowsy,1374,46.16935483870967,1
15,face15,safe,1294,43.48118279569892,0
6,face6,safe,471,15.826612903225806,0
15,face15,safe,334,11.223118279569892,0
7,face7,safe,341,11.458333333333332,0
9,face9,drowsy,3729,125.3024193548387,1
7,face7,drowsy,3714,124.7983870967742,1
4,face4,safe,315,10.584677419354838,0
15,face15,drowsy,1754,58.93817204301075,1
3,face3,drowsy,3899,131.01478494623657,1
15,face15,safe,684,22.983870967741936,0
15,face15,drowsy,3664,123.11827956989248,1
15,face15,safe,549,18.44758064516129,0
2,face2,drowsy,1049,35.248655913978496,1
2,face2,safe,279,9.375,0
9,face9,drowsy,4394,147.64784946236557,1
7,face7,drowsy,3834,128.8306451612903,1
15,face15,safe,1064,35.75268817204301,0
13,face13,safe,79,2.654569892473118,0
2,face2,drowsy,739,24.831989247311828,1
4,face4,drowsy,1444,48.52150537634408,1
13,face13,drowsy,74,2.486559139784946,1
3,face3,safe,79,2.654569892473118,0
9,face9,drowsy,2164,72.71505376344085,1
2,face2,drowsy,2509,84.30779569892472,1
3,face3,drowsy,209,7.022849462365591,1
5,face5,drowsy,659,22.143817204301072,1
15,face15,drowsy,2624,88.17204301075269,1
7,face7,drowsy,2704,90.86021505376344,1
4,face4,safe,435,14.616935483870966,0
3,face3,safe,226,7.594086021505376,0
7,face7,drowsy,4646,156.11559139784944,1
9,face9,safe,164,5.510752688172043,0
9,face9,drowsy,749,25.168010752688172,1
3,face3,drowsy,734,24.663978494623656,1
3,face3,drowsy,2414,81.11559139784946,1
7,face7,safe,226,7.594086021505376,0
15,face15,safe,459,15.423387096774192,0
2,face2,drowsy,184,6.182795698924731,1
5,face5,drowsy,1319,44.321236559139784,1
13,face13,drowsy,1939,65.15456989247312,1
2,face2,safe,834,28.024193548387096,0
15,face15,safe,1039,34.91263440860215,0
2,face2,drowsy,3849,129.33467741935482,1
9,face9,drowsy,1789,60.11424731182795,1
7,face7,safe,646,21.706989247311828,0
9,face9,drowsy,4359,146.47177419354838,1
15,face15,safe,1094,36.76075268817204,0
2,face2,safe,224,7.526881720430107,0
13,face13,safe,199,6.686827956989247,0
9,face9,drowsy,1169,39.280913978494624,1
